"","SAMPLEID","StationID","RefSamp","Reference","nt_habit_climbcling","nt_volt_semi","pt_BCG_att1i234b","nt_EPT","x_HBI"
"KS_Liz_3534_Rep1","KS_Liz_3534_Rep1","KS_MMI_Site122","Strs","HighStrs",7,1,5,1,6.085603113
"KS_Liz_3239_Rep1","KS_Liz_3239_Rep1","KS_MMI_Site123","No","BestRef",23,4,9.302325581,9,5.182033097
"KS_Liz_3240_Rep1","KS_Liz_3240_Rep1","KS_MMI_Site123","No","BestRef",11,2,11.53846154,5,5.16
"KS_Liz_3238_Rep1","KS_Liz_3238_Rep1","KS_MMI_Site123","Ref","BestRef",12,2,14.28571429,11,5.432835821
"KS_Liz_3093_Rep1","KS_Liz_3093_Rep1","KS_MMI_Site124","No","BestRef",15,7,5.882352941,11,5.134020619
"KS_Liz_3092_Rep1","KS_Liz_3092_Rep1","KS_MMI_Site124","No","BestRef",20,7,6.976744186,13,5.365196078
"KS_Liz_3097_Rep1","KS_Liz_3097_Rep1","KS_MMI_Site124","Ref","BestRef",17,4,0,10,4.989761092
"KS_Liz_3096_Rep1","KS_Liz_3096_Rep1","KS_MMI_Site124","No","BestRef",15,6,4,10,5.320945946
"KS_Liz_3095_Rep1","KS_Liz_3095_Rep1","KS_MMI_Site124","No","BestRef",13,6,9.523809524,9,5.548387097
"KS_Liz_3094_Rep1","KS_Liz_3094_Rep1","KS_MMI_Site124","No","BestRef",12,7,9.523809524,8,5.108352144
"KS_Liz_3546_Rep1","KS_Liz_3546_Rep1","KS_MMI_Site125","Other","Other",15,3,22.22222222,11,4.556776557
"KS_Liz_3546_Rep2","KS_Liz_3546_Rep2","KS_MMI_Site125","No","Other",19,3,17.94871795,13,4.918181818
"KS_Clint_1480_Rep1","KS_Clint_1480_Rep1","KS_MMI_Site126","No","BestRef",21,7,7.317073171,12,5.353896104
"KS_Clint_1473_Rep1","KS_Clint_1473_Rep1","KS_MMI_Site126","No","BestRef",21,6,7.142857143,11,5.50166113
"KS_Clint_1475_Rep1","KS_Clint_1475_Rep1","KS_MMI_Site126","No","BestRef",20,5,7.5,12,5.390681004
"KS_Clint_1482_Rep1","KS_Clint_1482_Rep1","KS_MMI_Site126","No","BestRef",19,7,9.090909091,11,5.194915254
"KS_Clint_1478_Rep1","KS_Clint_1478_Rep1","KS_MMI_Site126","No","BestRef",26,8,7.142857143,11,5.281609195
"KS_Clint_1477_Rep1","KS_Clint_1477_Rep1","KS_MMI_Site126","No","BestRef",20,5,8.333333333,10,5.481751825
"KS_Clint_1479_Rep1","KS_Clint_1479_Rep1","KS_MMI_Site126","No","BestRef",19,6,8.823529412,12,5.457912458
"KS_Clint_1474_Rep1","KS_Clint_1474_Rep1","KS_MMI_Site126","No","BestRef",20,6,9.523809524,12,5.384976526
"KS_Clint_1483_Rep1","KS_Clint_1483_Rep1","KS_MMI_Site126","Ref","BestRef",14,4,10.34482759,10,5.473988439
"KS_Clint_1472_Rep1","KS_Clint_1472_Rep1","KS_MMI_Site126","No","BestRef",20,4,5.714285714,10,5.366013072
"KS_Clint_1476_Rep1","KS_Clint_1476_Rep1","KS_MMI_Site126","No","BestRef",25,6,6.666666667,13,5.527472527
"KS_Clint_1481_Rep1","KS_Clint_1481_Rep1","KS_MMI_Site126","No","BestRef",23,6,4.87804878,14,4.86809816
"KS_Clint_1471_Rep1","KS_Clint_1471_Rep1","KS_MMI_Site126","No","BestRef",19,7,5.555555556,10,5.589622642
"KS_Clint_1470_Rep1","KS_Clint_1470_Rep1","KS_MMI_Site126","No","BestRef",19,3,10.81081081,13,5.441558442
"KS_Liz_3214_Rep1","KS_Liz_3214_Rep1","KS_MMI_Site127","Strs","Strs",17,6,2.702702703,9,5.623655914
"KS_Liz_3554_Rep1","KS_Liz_3554_Rep1","KS_MMI_Site128","Other","Other",18,4,4.255319149,11,5.376923077
"KS_Liz_3147_Rep1","KS_Liz_3147_Rep1","KS_MMI_Site129","Other","Other",17,8,7.317073171,9,5.426966292
"KS_Liz_3313_Rep1","KS_Liz_3313_Rep1","KS_MMI_Site130","Strs","HighStrs",7,2,0,1,5.90990991
"KS_Clint_1182_Rep1","KS_Clint_1182_Rep1","KS_MMI_Site131","No","HighStrs",18,2,0,12,5.843049327
"KS_Clint_1159_Rep1","KS_Clint_1159_Rep1","KS_MMI_Site131","No","HighStrs",14,0,5,8,5.363636364
"KS_Clint_1172_Rep1","KS_Clint_1172_Rep1","KS_MMI_Site131","No","HighStrs",21,2,2.941176471,12,5.37593985
"KS_Clint_1185_Rep2","KS_Clint_1185_Rep2","KS_MMI_Site131","No","HighStrs",20,5,0,14,5.393220339
"KS_Clint_1174_Rep1","KS_Clint_1174_Rep1","KS_MMI_Site131","No","HighStrs",14,2,4,7,5.307692308
"KS_Clint_1175_Rep1","KS_Clint_1175_Rep1","KS_MMI_Site131","No","HighStrs",16,3,0,6,5.575757576
"KS_Clint_1185_Rep1","KS_Clint_1185_Rep1","KS_MMI_Site131","No","HighStrs",19,6,6.25,13,5.290322581
"KS_Clint_1181_Rep1","KS_Clint_1181_Rep1","KS_MMI_Site131","No","HighStrs",11,2,6.666666667,6,5.186746988
"KS_Clint_1193_Rep1","KS_Clint_1193_Rep1","KS_MMI_Site131","Strs","HighStrs",17,4,0,12,5.744588745
"KS_Clint_1183_Rep1","KS_Clint_1183_Rep1","KS_MMI_Site131","No","HighStrs",18,2,0,13,5.289940828
"KS_Clint_1180_Rep1","KS_Clint_1180_Rep1","KS_MMI_Site131","No","HighStrs",23,9,4.444444444,11,5.376569038
"KS_Clint_1171_Rep1","KS_Clint_1171_Rep1","KS_MMI_Site131","No","HighStrs",10,2,5.263157895,2,5.303571429
"KS_Clint_1177_Rep1","KS_Clint_1177_Rep1","KS_MMI_Site131","No","HighStrs",21,4,2.272727273,12,5.655319149
"KS_Clint_1160_Rep1","KS_Clint_1160_Rep1","KS_MMI_Site131","No","HighStrs",16,4,6.451612903,10,5.528089888
"KS_Clint_1187_Rep1","KS_Clint_1187_Rep1","KS_MMI_Site131","No","HighStrs",16,2,0,10,5.707100592
"KS_Clint_1176_Rep1","KS_Clint_1176_Rep1","KS_MMI_Site131","No","HighStrs",22,3,0,12,5.49790795
"KS_Clint_1167_Rep1","KS_Clint_1167_Rep1","KS_MMI_Site131","No","HighStrs",20,4,0,4,6.369863014
"KS_Clint_1190_Rep1","KS_Clint_1190_Rep1","KS_MMI_Site131","No","HighStrs",18,5,6.25,7,5.582375479
"KS_Clint_1191_Rep1","KS_Clint_1191_Rep1","KS_MMI_Site131","No","HighStrs",16,2,3.571428571,9,5.207272727
"KS_Clint_1192_Rep1","KS_Clint_1192_Rep1","KS_MMI_Site131","No","HighStrs",16,3,0,9,5.632850242
"KS_Clint_1184_Rep1","KS_Clint_1184_Rep1","KS_MMI_Site131","No","HighStrs",15,1,0,17,5.233409611
"KS_Clint_1168_Rep1","KS_Clint_1168_Rep1","KS_MMI_Site131","No","HighStrs",19,1,0,7,5.533834586
"KS_Clint_1162_Rep1","KS_Clint_1162_Rep1","KS_MMI_Site131","No","HighStrs",12,4,6.896551724,3,5.578571429
"KS_Clint_1170_Rep1","KS_Clint_1170_Rep1","KS_MMI_Site131","No","HighStrs",17,3,3.03030303,9,5.607692308
"KS_Clint_1179_Rep1","KS_Clint_1179_Rep1","KS_MMI_Site131","No","HighStrs",15,3,0,9,5.964071856
"KS_Clint_1161_Rep1","KS_Clint_1161_Rep1","KS_MMI_Site131","No","HighStrs",20,3,0,11,5.479166667
"KS_Clint_1166_Rep1","KS_Clint_1166_Rep1","KS_MMI_Site131","No","HighStrs",16,2,0,12,5.411347518
"KS_Clint_1173_Rep1","KS_Clint_1173_Rep1","KS_MMI_Site131","No","HighStrs",16,5,2.941176471,10,5.582887701
"KS_Clint_1186_Rep1","KS_Clint_1186_Rep1","KS_MMI_Site131","No","HighStrs",21,4,3.448275862,9,5.156
"KS_Clint_1165_Rep1","KS_Clint_1165_Rep1","KS_MMI_Site131","No","HighStrs",21,2,1.960784314,15,5.515151515
"KS_Clint_1178_Rep1","KS_Clint_1178_Rep1","KS_MMI_Site131","No","HighStrs",20,3,2.777777778,10,5.510752688
"KS_Clint_1188_Rep1","KS_Clint_1188_Rep1","KS_MMI_Site131","No","HighStrs",15,4,2.777777778,9,5.840125392
"KS_Clint_1163_Rep1","KS_Clint_1163_Rep1","KS_MMI_Site131","No","HighStrs",18,0,0,11,5.537190083
"KS_Clint_1169_Rep1","KS_Clint_1169_Rep1","KS_MMI_Site131","No","HighStrs",13,3,4.347826087,6,5.389380531
"KS_Clint_1164_Rep1","KS_Clint_1164_Rep1","KS_MMI_Site131","No","HighStrs",22,3,0,14,5.526717557
"KS_Clint_1189_Rep1","KS_Clint_1189_Rep1","KS_MMI_Site131","No","HighStrs",18,2,2.777777778,14,5.68956044
"KS_Clint_1831_Rep1","KS_Clint_1831_Rep1","KS_MMI_Site132","Ref","Ref",17,4,13.33333333,10,5.63253012
"KS_Clint_0054_Rep1","KS_Clint_0054_Rep1","KS_MMI_Site133","No","Ref",20,5,4,11,5.461988304
"KS_Clint_0055_Rep1","KS_Clint_0055_Rep1","KS_MMI_Site133","Ref","Ref",13,4,0,9,5.428571429
"KS_Clint_0053_Rep1","KS_Clint_0053_Rep1","KS_MMI_Site133","No","Ref",19,7,0,11,5.610810811
"KS_Liz_3134_Rep1","KS_Liz_3134_Rep1","KS_MMI_Site134","Ref","Ref",19,5,6.976744186,6,5.249266862
"KS_Clint_1830_Rep1","KS_Clint_1830_Rep1","KS_MMI_Site135","Strs","Strs",15,5,5.714285714,5,6.594488189
"KS_Clint_0133_Rep1","KS_Clint_0133_Rep1","KS_MMI_Site136","Other","SomeStrs",24,10,2.43902439,15,5.292517007
"KS_Clint_0134_Rep1","KS_Clint_0134_Rep1","KS_MMI_Site136","Other","SomeStrs",29,9,10,16,5.297577855
"KS_Clint_0135_Rep1","KS_Clint_0135_Rep1","KS_MMI_Site136","Other","SomeStrs",13,5,8.333333333,11,5.584
"KS_Clint_0148_Rep1","KS_Clint_0148_Rep1","KS_MMI_Site136","Other","SomeStrs",21,6,4.87804878,13,5.683229814
"KS_Clint_0136_Rep1","KS_Clint_0136_Rep1","KS_MMI_Site136","Other","SomeStrs",25,6,4.081632653,19,5.336842105
"KS_Clint_0146_Rep1","KS_Clint_0146_Rep1","KS_MMI_Site136","Other","SomeStrs",26,7,9.523809524,15,5.20505618
"KS_Clint_0147_Rep1","KS_Clint_0147_Rep1","KS_MMI_Site136","Other","SomeStrs",26,6,7.01754386,16,5.525469169
"KS_Clint_0143_Rep1","KS_Clint_0143_Rep1","KS_MMI_Site136","Other","SomeStrs",24,8,4.651162791,16,5.435986159
"KS_Clint_0144_Rep1","KS_Clint_0144_Rep1","KS_MMI_Site136","Other","SomeStrs",26,7,5.357142857,16,5.285714286
"KS_Clint_0132_Rep1","KS_Clint_0132_Rep1","KS_MMI_Site136","Other","SomeStrs",25,4,5.882352941,15,5.533707865
"KS_Clint_0158_Rep1","KS_Clint_0158_Rep1","KS_MMI_Site136","Other","SomeStrs",19,4,2.941176471,10,5.628428928
"KS_Clint_0159_Rep1","KS_Clint_0159_Rep1","KS_MMI_Site136","Other","SomeStrs",26,6,2.702702703,14,5.654054054
"KS_Clint_0160_Rep1","KS_Clint_0160_Rep1","KS_MMI_Site136","Other","SomeStrs",22,6,2.564102564,12,5.595300261
"KS_Clint_0161_Rep1","KS_Clint_0161_Rep1","KS_MMI_Site136","Other","SomeStrs",22,5,2.857142857,9,5.672268908
"KS_Clint_0162_Rep1","KS_Clint_0162_Rep1","KS_MMI_Site136","Other","SomeStrs",29,8,10.20408163,18,5.420382166
"KS_Clint_0150_Rep1","KS_Clint_0150_Rep1","KS_MMI_Site136","Other","SomeStrs",19,7,4.87804878,9,5.673469388
"KS_Clint_0151_Rep1","KS_Clint_0151_Rep1","KS_MMI_Site136","Other","SomeStrs",15,5,3.571428571,9,5.614718615
"KS_Clint_0137_Rep1","KS_Clint_0137_Rep1","KS_MMI_Site136","Other","SomeStrs",29,7,7.692307692,17,5.368770764
"KS_Clint_0138_Rep1","KS_Clint_0138_Rep1","KS_MMI_Site136","Other","SomeStrs",20,10,7.692307692,12,5.13372093
"KS_Clint_0139_Rep1","KS_Clint_0139_Rep1","KS_MMI_Site136","Other","SomeStrs",25,5,4.761904762,16,5.300546448
"KS_Clint_0140_Rep1","KS_Clint_0140_Rep1","KS_MMI_Site136","Other","SomeStrs",20,7,0,7,5.493877551
"KS_Clint_0141_Rep1","KS_Clint_0141_Rep1","KS_MMI_Site136","Other","SomeStrs",21,5,2.380952381,9,5.517482517
"KS_Clint_0142_Rep1","KS_Clint_0142_Rep1","KS_MMI_Site136","Other","SomeStrs",26,10,7.142857143,15,5.419618529
"KS_Clint_0131_Rep1","KS_Clint_0131_Rep1","KS_MMI_Site136","Other","SomeStrs",20,7,6.976744186,11,5.489539749
"KS_Clint_0145_Rep1","KS_Clint_0145_Rep1","KS_MMI_Site136","Other","SomeStrs",20,7,8.108108108,12,5.237623762
"KS_Clint_0155_Rep1","KS_Clint_0155_Rep1","KS_MMI_Site136","Other","SomeStrs",28,9,4.166666667,13,5.381924198
"KS_Clint_0152_Rep1","KS_Clint_0152_Rep1","KS_MMI_Site136","Other","SomeStrs",21,8,16.12903226,13,5.275720165
"KS_Clint_0149_Rep1","KS_Clint_0149_Rep1","KS_MMI_Site136","Other","SomeStrs",29,10,12.28070175,14,5.5
"KS_Clint_0154_Rep1","KS_Clint_0154_Rep1","KS_MMI_Site136","Other","SomeStrs",26,10,5.882352941,15,5.498795181
"KS_Clint_0156_Rep1","KS_Clint_0156_Rep1","KS_MMI_Site136","Other","SomeStrs",30,8,11.36363636,18,5.218181818
"KS_Clint_0153_Rep1","KS_Clint_0153_Rep1","KS_MMI_Site136","Other","SomeStrs",28,9,6.382978723,19,5.320945946
"KS_Clint_0157_Rep2","KS_Clint_0157_Rep2","KS_MMI_Site136","No","SomeStrs",23,6,8.510638298,19,5.423529412
"KS_Clint_0157_Rep1","KS_Clint_0157_Rep1","KS_MMI_Site136","Other","SomeStrs",24,12,6.818181818,15,5.357400722
"KS_Liz_3186_Rep1","KS_Liz_3186_Rep1","KS_MMI_Site137","Ref","BestRef",15,3,0,8,5.573333333
"KS_Clint_1428_Rep1","KS_Clint_1428_Rep1","KS_MMI_Site138","No","HighStrs",13,3,4,7,5.308510638
"KS_Clint_1425_Rep1","KS_Clint_1425_Rep1","KS_MMI_Site138","No","HighStrs",13,7,7.692307692,8,5.517482517
"KS_Clint_1444_Rep1","KS_Clint_1444_Rep1","KS_MMI_Site138","No","HighStrs",15,6,3.225806452,8,5.751295337
"KS_Clint_1424_Rep1","KS_Clint_1424_Rep1","KS_MMI_Site138","No","HighStrs",23,7,5,12,5.489177489
"KS_Clint_1426_Rep1","KS_Clint_1426_Rep1","KS_MMI_Site138","No","HighStrs",14,3,3.448275862,7,5.4625
"KS_Clint_1453_Rep2","KS_Clint_1453_Rep2","KS_MMI_Site138","No","HighStrs",15,4,4,7,5.536423841
"KS_Clint_1451_Rep1","KS_Clint_1451_Rep1","KS_MMI_Site138","No","HighStrs",19,6,2.173913043,8,5.625
"KS_Clint_1455_Rep1","KS_Clint_1455_Rep1","KS_MMI_Site138","No","HighStrs",22,4,0,11,5.823275862
"KS_Clint_1441_Rep1","KS_Clint_1441_Rep1","KS_MMI_Site138","No","HighStrs",13,3,0,5,5.436619718
"KS_Clint_1445_Rep1","KS_Clint_1445_Rep1","KS_MMI_Site138","No","HighStrs",19,6,4.347826087,13,5.649275362
"KS_Clint_1442_Rep1","KS_Clint_1442_Rep1","KS_MMI_Site138","No","HighStrs",21,3,2.702702703,15,5.709543568
"KS_Clint_1421_Rep1","KS_Clint_1421_Rep1","KS_MMI_Site138","No","HighStrs",21,4,0,13,5.493150685
"KS_Clint_1456_Rep1","KS_Clint_1456_Rep1","KS_MMI_Site138","Strs","HighStrs",26,4,3.773584906,9,5.709359606
"KS_Clint_1423_Rep1","KS_Clint_1423_Rep1","KS_MMI_Site138","No","HighStrs",18,6,6.451612903,8,5.340782123
"KS_Clint_1450_Rep1","KS_Clint_1450_Rep1","KS_MMI_Site138","No","HighStrs",23,8,4.545454545,14,5.650326797
"KS_Clint_1422_Rep1","KS_Clint_1422_Rep1","KS_MMI_Site138","No","HighStrs",23,5,7.692307692,8,5.483412322
"KS_Clint_1452_Rep1","KS_Clint_1452_Rep1","KS_MMI_Site138","No","HighStrs",19,4,3.571428571,11,5.438596491
"KS_Clint_1427_Rep1","KS_Clint_1427_Rep1","KS_MMI_Site138","No","HighStrs",25,6,2.325581395,10,5.607329843
"KS_Clint_1439_Rep1","KS_Clint_1439_Rep1","KS_MMI_Site138","No","HighStrs",21,5,4.081632653,8,5.905660377
"KS_Clint_1440_Rep1","KS_Clint_1440_Rep1","KS_MMI_Site138","No","HighStrs",24,7,4.255319149,10,5.712195122
"KS_Clint_1454_Rep1","KS_Clint_1454_Rep1","KS_MMI_Site138","No","HighStrs",24,7,0,11,5.645
"KS_Clint_1429_Rep1","KS_Clint_1429_Rep1","KS_MMI_Site138","No","HighStrs",19,5,2.564102564,12,5.5
"KS_Clint_1449_Rep1","KS_Clint_1449_Rep1","KS_MMI_Site138","No","HighStrs",20,8,2.173913043,9,5.479508197
"KS_Clint_1446_Rep1","KS_Clint_1446_Rep1","KS_MMI_Site138","No","HighStrs",22,6,2.127659574,12,5.882352941
"KS_Clint_1420_Rep1","KS_Clint_1420_Rep1","KS_MMI_Site138","No","HighStrs",20,6,9.090909091,8,5.481203008
"KS_Clint_1419_Rep1","KS_Clint_1419_Rep1","KS_MMI_Site138","No","HighStrs",18,7,3.225806452,9,5.446153846
"KS_Clint_1438_Rep1","KS_Clint_1438_Rep1","KS_MMI_Site138","No","HighStrs",14,5,3.333333333,6,5.260162602
"KS_Clint_1448_Rep1","KS_Clint_1448_Rep1","KS_MMI_Site138","No","HighStrs",19,6,5.128205128,9,5.806779661
"KS_Clint_1436_Rep1","KS_Clint_1436_Rep1","KS_MMI_Site138","No","HighStrs",21,6,2.564102564,12,5.293103448
"KS_Clint_1431_Rep1","KS_Clint_1431_Rep1","KS_MMI_Site138","No","HighStrs",20,6,5.882352941,8,5.438016529
"KS_Clint_1443_Rep1","KS_Clint_1443_Rep1","KS_MMI_Site138","No","HighStrs",21,7,0,10,6.099678457
"KS_Clint_1453_Rep1","KS_Clint_1453_Rep1","KS_MMI_Site138","No","HighStrs",14,4,0,6,5.631016043
"KS_Clint_1430_Rep1","KS_Clint_1430_Rep1","KS_MMI_Site138","No","HighStrs",24,8,2.272727273,9,5.390243902
"KS_Clint_1435_Rep1","KS_Clint_1435_Rep1","KS_MMI_Site138","No","HighStrs",20,2,5.128205128,10,5.259649123
"KS_Clint_1447_Rep1","KS_Clint_1447_Rep1","KS_MMI_Site138","No","HighStrs",21,4,0,6,5.322493225
"KS_Clint_1433_Rep1","KS_Clint_1433_Rep1","KS_MMI_Site138","No","HighStrs",21,5,2.5,11,5.311926606
"KS_Clint_1434_Rep1","KS_Clint_1434_Rep1","KS_MMI_Site138","No","HighStrs",25,4,2.222222222,12,5.446308725
"KS_Clint_1432_Rep1","KS_Clint_1432_Rep1","KS_MMI_Site138","No","HighStrs",21,4,6.382978723,14,5.390041494
"KS_Clint_1437_Rep1","KS_Clint_1437_Rep1","KS_MMI_Site138","No","HighStrs",21,7,4.761904762,9,5.476635514
"KS_Liz_3316_Rep1","KS_Liz_3316_Rep1","KS_MMI_Site139","Strs","HighStrs",15,1,11.11111111,7,5.245192308
"KS_Liz_3386_Rep1","KS_Liz_3386_Rep1","KS_MMI_Site140","Other","SomeStrs",15,4,2.857142857,3,6.361502347
"KS_Liz_3295_Rep1","KS_Liz_3295_Rep1","KS_MMI_Site141","Strs","HighStrs",19,3,0,13,5.588832487
"KS_Liz_3359_Rep1","KS_Liz_3359_Rep1","KS_MMI_Site142","Ref","Ref",17,2,13.33333333,11,5.313868613
"KS_Liz_3344_Rep1","KS_Liz_3344_Rep1","KS_MMI_Site143","Strs","Strs",16,8,2.325581395,4,5.575520833
"KS_Liz_3397_Rep1","KS_Liz_3397_Rep1","KS_MMI_Site144","Other","SomeStrs",19,6,2.380952381,3,5.836641221
"KS_Clint_2104_Rep1","KS_Clint_2104_Rep1","KS_MMI_Site145","Other","SomeStrs",10,5,3.846153846,3,5.595890411
"KS_Liz_3378_Rep1","KS_Liz_3378_Rep1","KS_MMI_Site146","Strs","HighStrs",18,7,3.225806452,9,5.502857143
"KS_Liz_3435_Rep1","KS_Liz_3435_Rep1","KS_MMI_Site147","Strs","HighStrs",9,1,0,0,6.465408805
"KS_Liz_3290_Rep1","KS_Liz_3290_Rep1","KS_MMI_Site148","Ref","BestRef",18,1,12.82051282,11,4.824427481
"KS_Liz_3289_Rep1","KS_Liz_3289_Rep1","KS_MMI_Site148","No","BestRef",10,3,20,5,4.933554817
"KS_Liz_3288_Rep1","KS_Liz_3288_Rep1","KS_MMI_Site148","No","BestRef",15,3,15.78947368,12,4.303030303
"KS_Clint_1023_Rep1","KS_Clint_1023_Rep1","KS_MMI_Site149","Other","SomeStrs",27,4,12.24489796,21,5.226700252
"KS_Clint_1018_Rep1","KS_Clint_1018_Rep1","KS_MMI_Site149","Other","SomeStrs",17,5,10.71428571,11,4.778947368
"KS_Clint_1016_Rep1","KS_Clint_1016_Rep1","KS_MMI_Site149","Other","SomeStrs",22,5,6.666666667,16,5.144927536
"KS_Clint_1022_Rep1","KS_Clint_1022_Rep1","KS_MMI_Site149","Other","SomeStrs",28,6,8.888888889,24,5.32505176
"KS_Clint_1019_Rep1","KS_Clint_1019_Rep1","KS_MMI_Site149","Other","SomeStrs",24,4,10,21,5.018867925
"KS_Clint_1017_Rep1","KS_Clint_1017_Rep1","KS_MMI_Site149","Other","SomeStrs",22,4,6.818181818,16,5.360544218
"KS_Clint_1020_Rep1","KS_Clint_1020_Rep1","KS_MMI_Site149","Other","SomeStrs",15,5,13.33333333,13,4.728395062
"KS_Clint_1021_Rep1","KS_Clint_1021_Rep1","KS_MMI_Site149","Other","SomeStrs",20,4,13.51351351,16,5.181506849
"KS_Liz_3531_Rep2","KS_Liz_3531_Rep2","KS_MMI_Site150","No","Other",27,4,3.636363636,10,5.235294118
"KS_Liz_3531_Rep1","KS_Liz_3531_Rep1","KS_MMI_Site150","Other","Other",23,4,4.651162791,9,5.114285714
"KS_Liz_3327_Rep1","KS_Liz_3327_Rep1","KS_MMI_Site151","Strs","HighStrs",14,5,6.060606061,4,5.489655172
"KS_Liz_3475_Rep1","KS_Liz_3475_Rep1","KS_MMI_Site152","Strs","Strs",14,2,5.263157895,7,5.959247649
"KS_Liz_3573_Rep1","KS_Liz_3573_Rep1","KS_MMI_Site153","Strs","Strs",22,7,6,9,5.363387978
"KS_Clint_0684_Rep1","KS_Clint_0684_Rep1","KS_MMI_Site154","Other","Other",17,3,5.263157895,9,5.333333333
"KS_Clint_0683_Rep1","KS_Clint_0683_Rep1","KS_MMI_Site154","Other","Other",15,2,2.631578947,9,5.344827586
"KS_Clint_0682_Rep1","KS_Clint_0682_Rep1","KS_MMI_Site154","Other","Other",12,3,0,7,5.45045045
"KS_Liz_3630_Rep1","KS_Liz_3630_Rep1","KS_MMI_Site155","Other","SomeStrs",16,4,2.564102564,3,5.786259542
"KS_Liz_3431_Rep1","KS_Liz_3431_Rep1","KS_MMI_Site156","Strs","HighStrs",21,4,10.63829787,5,5.459459459
"KS_Clint_2094_Rep1","KS_Clint_2094_Rep1","KS_MMI_Site157","No","HighStrs",8,2,0,2,5.652173913
"KS_Clint_2095_Rep1","KS_Clint_2095_Rep1","KS_MMI_Site157","Strs","HighStrs",10,6,3.125,6,5.52173913
"KS_Clint_1755_Rep1","KS_Clint_1755_Rep1","KS_MMI_Site158","Strs","Strs",22,5,8.510638298,13,4.604477612
"KS_Clint_1754_Rep1","KS_Clint_1754_Rep1","KS_MMI_Site158","No","Strs",19,3,10,8,5.146853147
"KS_Liz_3241_Rep1","KS_Liz_3241_Rep1","KS_MMI_Site159","Other","SomeStrs",11,6,6.25,2,5.08490566
"KS_Clint_1829_Rep1","KS_Clint_1829_Rep1","KS_MMI_Site160","Strs","Strs",11,3,4.166666667,4,5.318681319
"KS_Liz_3231_Rep1","KS_Liz_3231_Rep1","KS_MMI_Site161","Strs","HighStrs",13,1,2.5,9,5.495207668
"KS_Clint_1751_Rep1","KS_Clint_1751_Rep1","KS_MMI_Site162","Other","Other",33,7,12.96296296,17,5.273684211
"KS_Clint_1828_Rep1","KS_Clint_1828_Rep1","KS_MMI_Site164","Strs","Strs",21,8,9.090909091,12,5.824840764
"KS_Liz_3274_Rep1","KS_Liz_3274_Rep1","KS_MMI_Site165","Other","Other",7,1,0,2,5.476190476
"KS_Liz_3626_Rep1","KS_Liz_3626_Rep1","KS_MMI_Site166","Strs","HighStrs",23,5,2,7,5.887905605
"KS_Liz_3626_Rep2","KS_Liz_3626_Rep2","KS_MMI_Site166","No","HighStrs",21,5,4,7,5.845744681
"KS_Liz_3149_Rep1","KS_Liz_3149_Rep1","KS_MMI_Site167","Strs","HighStrs",15,5,0,2,5.515151515
"KS_Liz_3416_Rep1","KS_Liz_3416_Rep1","KS_MMI_Site168","Strs","Strs",13,2,0,3,6.162561576
"KS_Liz_3441_Rep1","KS_Liz_3441_Rep1","KS_MMI_Site169","Ref","Ref",13,2,6.25,5,5.084832905
"KS_Clint_0050_Rep1","KS_Clint_0050_Rep1","KS_MMI_Site170","Strs","Strs",23,6,4.444444444,11,5.524861878
"KS_Clint_0051_Rep1","KS_Clint_0051_Rep1","KS_MMI_Site170","No","Strs",21,5,4.347826087,6,5.45
"KS_Clint_0052_Rep1","KS_Clint_0052_Rep1","KS_MMI_Site170","No","Strs",17,1,8.108108108,8,5.494505495
"KS_Liz_3004_Rep1","KS_Liz_3004_Rep1","KS_MMI_Site171","No","Strs",16,6,5.405405405,10,5.257425743
"KS_Clint_1827_Rep1","KS_Clint_1827_Rep1","KS_MMI_Site171","No","Strs",18,4,8.108108108,8,5.511111111
"KS_Liz_3006_Rep1","KS_Liz_3006_Rep1","KS_MMI_Site171","No","Strs",13,5,6.25,6,5.488764045
"KS_Liz_3004_Rep2","KS_Liz_3004_Rep2","KS_MMI_Site171","No","Strs",23,10,4.255319149,12,5.320879121
"KS_Liz_3003_Rep1","KS_Liz_3003_Rep1","KS_MMI_Site171","No","Strs",20,6,1.960784314,10,5.513192612
"KS_Liz_3007_Rep1","KS_Liz_3007_Rep1","KS_MMI_Site171","Strs","Strs",29,9,3.278688525,10,5.323788546
"KS_Liz_3006_Rep2","KS_Liz_3006_Rep2","KS_MMI_Site171","No","Strs",12,4,4.166666667,6,5.485436893
"KS_Liz_3005_Rep1","KS_Liz_3005_Rep1","KS_MMI_Site171","No","Strs",18,4,5.128205128,7,4.648148148
"KS_Clint_0067_Rep1","KS_Clint_0067_Rep1","KS_MMI_Site172","Other","SomeStrs",20,6,8.333333333,14,5.109243697
"KS_Clint_0066_Rep1","KS_Clint_0066_Rep1","KS_MMI_Site172","Other","SomeStrs",23,9,6,15,5.265895954
"KS_Clint_0065_Rep1","KS_Clint_0065_Rep1","KS_MMI_Site172","Other","SomeStrs",18,6,12.12121212,12,5.401709402
"KS_Liz_3588_Rep1","KS_Liz_3588_Rep1","KS_MMI_Site172","Other","SomeStrs",12,1,6.896551724,8,5.209543568
"KS_Clint_2150_Rep1","KS_Clint_2150_Rep1","KS_MMI_Site173","No","HighStrs",11,2,0,7,5.710280374
"KS_Clint_2149_Rep1","KS_Clint_2149_Rep1","KS_MMI_Site173","No","HighStrs",11,2,3.703703704,5,5.948453608
